parameters;mean;std;naive_se;mcse;ess;rhat;ess_per_sec
model_sd[8,2];0.7145745551238148;0.18260133231268189;0.002357373063474344;0.0022906093383734697;6065.23006254716;0.9999318475398434;4.2935152770059375
model_sd[9,2];0.5808993925468086;0.146447100102137;0.0018906239326531567;0.0017894888996720373;6066.500877962139;1.0004688855826778;4.294414874439538
model_sd[10,2];0.6535475914101042;0.1657690822038746;0.002140069648972315;0.002346371432519104;5805.206177266524;0.9998127605222712;4.1094469873737385
model_sd[11,2];0.397298296319173;0.10101131463554519;0.0013040504645399466;0.001423772879646425;5806.7714226501785;1.000427140797442;4.110555008816895
model_sd[12,2];0.41998511811313227;0.10644681908100471;0.0013742225251916172;0.0012317948298135762;6129.946134888274;0.9998456260985079;4.339327132846358
model_sd[13,2];0.5590187049130232;0.1425921552573221;0.0018408568087047695;0.0020148117154872515;5946.940609707791;1.0006661712212417;4.209779364660147
model_sd[14,2];1.10387662573602;0.27857350346636484;0.0035963684653996172;0.003308066082414244;5951.680140142741;0.9997479750407307;4.2131344305221905
model_sd[15,2];0.6972931141341165;0.17775402719894187;0.002294794623542674;0.0021550692519149207;6175.805282298045;0.999604997033711;4.371790361440135
model_sd[16,2];0.8444775673897216;0.2139532282901531;0.0027621243001169217;0.002702980408208647;5755.69529140244;1.0000516966594482;4.074398729905617
model_sd[17,2];0.9140750225596531;0.23437911335591108;0.003025821342421013;0.003110165186972204;5995.243085389279;0.999867240898315;4.243972200730174
model_sd[18,2];0.8131038036356187;0.20513310781235172;0.002648257034376696;0.0025819014417470952;6112.390018513027;1.000435730358141;4.326899334875845
model_sd[19,2];1.4051564784698756;0.35643304280666505;0.004601530796094164;0.004939446582755749;5830.8936821916295;0.9994175099739957;4.127630913405687
model_sd[20,2];0.9957052254941503;0.24952658318392265;0.003221374337024574;0.0032406775381955545;6102.196120069173;1.0007990026823719;4.319683176832442
model_sd[21,2];1.1288418973108019;0.2942848784725646;0.003799201444549721;0.00367180148203176;5720.06567590258;1.0006705209431308;4.049176883926991
model_sd[22,2];1.3711051189989267;0.34782033620078234;0.004490341231926316;0.004573831830061859;5879.091911409367;0.9996930260048036;4.161749954453914
model_sd[23,2];1.5011889117256063;0.38189481611593457;0.004930240876066528;0.005433635500301202;5585.975882851548;0.9998829227659598;3.9542560698740794
model_sd[24,2];1.1461469152440353;0.293214391531542;0.003785381517566677;0.0036651710913789596;5856.369622521775;0.9996170846421477;4.145665074991577
