parameters;mean;std;naive_se;mcse;ess;rhat;ess_per_sec
model_sd[23,4];0.24980190714424902;0.06431110941607768;0.0010168479230355336;0.0008928461486362161;4534.936353760393;0.9991928178148461;0.007668869552195389
model_sd[24,4];0.2898582232008134;0.0681776767497374;0.0010779837205393784;0.0010598612486045775;4597.193881805439;1.0005259589509872;0.007774151043262778
model_sd[1,5];0.306533378141616;0.07888416676620699;0.0012472681915288663;0.0012872704457576208;4328.257373379826;1.0001182521627918;0.007319362080408044
model_sd[2,5];0.49541348964419524;0.12278581022563241;0.0019414141233109576;0.001932889390084379;4840.888828249633;1.0003103369524187;0.008186254898537415
model_sd[3,5];0.43794419226565845;0.11033591065093017;0.001744563926828854;0.0017607086982206887;4026.1397218308534;0.9998360883109239;0.006808461666728918
model_sd[4,5];0.4315408089163538;0.10217618548148495;0.001615547343746603;0.0016376244066522597;3251.439712633036;0.9997608503440666;0.005498394038614079
model_sd[5,5];0.22664371535924555;0.05593226514287402;0.0008843667627196252;0.0009844186923911012;3538.668258352245;1.000700147269787;0.00598411601505613
model_sd[6,5];0.1755877417085041;0.041660965264057284;0.000658717698777896;0.0007145926605227224;4499.25924395908;1.0009889017692395;0.007608537260907828
model_sd[7,5];0.17445276021563766;0.03923006248581764;0.0006202817510295536;0.0005734779920057207;4660.702034691199;0.9997858265194483;0.007881547421511377
model_sd[8,5];0.18388540047901222;0.03937164194096406;0.0006225203187702953;0.0006044885029333653;4506.1353834596275;1.0005865930530196;0.007620165255820849
model_sd[9,5];0.17458926362594632;0.03830046633278773;0.0006055835452910289;0.0005981164371925068;4323.501553118774;1.0005738357129415;0.0073113196819374554
model_sd[10,5];0.17263465603124922;0.04348646477166163;0.0006875813803356239;0.0006588346510610667;4262.338186730929;0.9993902162845804;0.007207888488727308
model_sd[11,5];0.21599740738957196;0.05103873907761705;0.0008069933219415564;0.0008555582433223963;4494.045115549289;0.9995073652856256;0.007599719833829734
model_sd[12,5];0.2684201132551647;0.06668443407072801;0.0010543734807141715;0.0011218594650223806;4279.754673710601;0.9998339608744835;0.007237340890323608
model_sd[13,5];0.2196746372229527;0.05506266763993775;0.0008706172189352575;0.000843895465298449;3983.1349102840213;1.000165756799727;0.0067357377596787265
model_sd[14,5];0.2538893498705458;0.058850612273782354;0.0009305098824030648;0.0009077283642787911;4060.2603681114742;1.0000665105494289;0.006866161877922776
model_sd[15,5];0.18293412060602543;0.04358087731046343;0.0006890741736470875;0.0007362769194011205;4421.407881499049;1.0004307550419933;0.007476885591161328
model_sd[16,5];0.188973949260525;0.04451761263596535;0.0007038852596137139;0.0006982692931302672;3507.9942761761063;1.000202850706299;0.005932244334925466
model_sd[17,5];0.14008387669894096;0.034221945911412595;0.0005410964752157533;0.0005124686589259913;5110.644054215862;0.999853409880737;0.008642428365501865
model_sd[18,5];0.13543329407115676;0.03337228206470814;0.0005276621102103221;0.0005034750704025568;4281.2897233707745;0.999488187167179;0.007239936758199516
