parameters;mean;std;naive_se;mcse;ess;rhat;ess_per_sec
K;67.6718394645548;9.637296063479575;0.048186480317397876;0.17469640880382237;2433.3332764540482;1.003873923757264;0.31456333154817107
r;0.8459737934189061;0.11007878587772081;0.000550393929388604;0.0025636241321164185;1479.4972469581164;1.0049077901167787;0.1912584632458097
bpsd;0.09496965493492966;0.024421665161117986;0.00012210832580558992;0.0006766031513489831;963.6261510528917;1.007067818251036;0.12457046281956888
bosd;6.236905301449101;4.681319101077701;0.023406595505388504;0.17551998331464033;529.9312603777641;1.0163681738690051;0.06850559451472604
q1;0.5592332558961849;0.1334932459144698;0.000667466229572349;0.003593403525165368;1076.36823328233;1.0080636098313713;0.13914492548563256
m[1];0.822186472515633;0.0761537948245827;0.00038076897412291354;0.0015163161387035367;2040.1378430183206;1.0029448931310814;0.2637339335828795
m[2];0.8108709078926899;0.0919489201217815;0.00045974460060890755;0.0024063095287471014;1155.9693929213806;1.005386780816582;0.1494351747554105
m[3];0.7924263092801579;0.08710971132964156;0.0004355485566482078;0.0021392942185667367;1318.3035150314322;1.0045288635477725;0.17042052960548615
m[4];0.7082869267604411;0.09241249292782647;0.00046206246463913235;0.0026749333825035345;911.1164497515815;1.0080306235723158;0.11778239694311417
m[5];0.611453707732649;0.10634446432582884;0.0005317223216291442;0.0035785380951384722;673.7155068406427;1.0123451195768218;0.08709295861694893
m[6];0.6477271055253303;0.08631039724756859;0.000431551986237843;0.0027111534417300636;785.2310537097395;1.0098781773625267;0.10150886386182251
m[7];0.6075941248583983;0.09687483856051197;0.0004843741928025599;0.0032801963520620717;659.5213315636236;1.0124078854928091;0.08525804060266676
m[8];0.5976633878730543;0.10853702953676245;0.0005426851476838122;0.0037958767802645497;617.2389242639339;1.0132026555616584;0.07979208366418725
m[9];0.701561709407617;0.09644563242007882;0.0004822281621003941;0.0031055848576384123;738.1287817010722;1.0106156556699672;0.09541983045653166
m[10];0.7648706934902708;0.08627212097372795;0.0004313606048686397;0.0026283029740876342;845.2300091994325;1.0084924056152509;0.10926508513692522
m[11];0.8255550602627012;0.0693376340534616;0.00034668817026730806;0.0016100847793332328;1503.2794861225325;1.0038290622214308;0.19433285525598915
m[12];0.8651397505697045;0.0627766279909845;0.00031388313995492253;0.0011151993822502118;2827.3852500898706;1.0010361298932353;0.3655034566964399
m[13];0.8645763051024773;0.06306405401876664;0.00031532027009383316;0.0011560586785207337;2355.4507150502955;1.0012661434371912;0.30449524994926636
m[14];0.8831923168934823;0.06599990311974185;0.0003299995155987093;0.001245776141259345;2383.1918267503934;1.0013823987891426;0.3080814157251066
m[15];0.8655068191819755;0.06515916858322494;0.0003257958429161247;0.0011618443955963322;2898.558293205361;1.0009928468096094;0.374704181387739
m[16];0.831525942637408;0.06443590404818521;0.00032217952024092604;0.0010906161693672635;2991.984251821261;1.000778020033747;0.3867815984352405
m[17];0.7367359837321815;0.06734671844023817;0.0003367335922011908;0.0015858881887194838;1455.178831354723;1.00446064450139;0.1881147583106091
m[18];0.6698975836111293;0.07361996060713052;0.0003680998030356526;0.0020631142398358122;999.4021794241298;1.0074073730959405;0.12919532320466914
m[19];0.5960757455815224;0.09312000969169802;0.00046560004845849014;0.003137877713528731;674.2189780980476;1.0117018276553238;0.08715804365795032
m[20];0.6252947976096002;0.10030855224100757;0.0005015427612050379;0.0034340603900603547;647.209087398363;1.0125130630929497;0.08366640472568455
m[21];0.7711706519438999;0.07968543509174547;0.0003984271754587274;0.0021195397762780333;1086.7409652412664;1.0060282202802588;0.1404858355672199
m[22];0.7725924480140292;0.07934767668249987;0.00039673838341249934;0.002167806670195375;1041.9778363846594;1.0068348174256532;0.13469918929072897
m[23];0.693755732815306;0.08850468354188198;0.0004425234177094099;0.0027830551256319966;785.5779180042986;1.0102483257925745;0.10155370391277131
m[24];0.6802750265314764;0.0900236466371206;0.00045011823318560305;0.002867140343638976;756.692021102649;1.0110881841015549;0.09781954877172915
m[25];0.8545432297056119;0.11930977999762767;0.0005965488999881383;0.0023386388776100446;2163.48413107187;1.0027823843080224;0.2796792295600775
m[26];0.9437698275386338;0.11238982911202157;0.0005619491455601079;0.001547587883775579;4971.768975290796;1.0007413840713462;0.6427135270324913
m[27];0.9745846213823577;0.10454075796475282;0.0005227037898237641;0.00182887923254569;2003.211017126308;1.0028226396401891;0.25896030660440916
m[28];0.9813174137467701;0.09943835460036998;0.0004971917730018498;0.0009286523751935934;13667.122359600358;1.0004131244512675;1.7667845106599298
m[29];0.9843149827176778;0.09942044622380339;0.0004971022311190169;0.0011734733736770643;6954.28563236273;1.0005626683558941;0.8989986198032871
